category,video_id
MoppingFloor,v_MoppingFloor_g22_c01
MoppingFloor,v_MoppingFloor_g19_c02
PlayingFlute,v_PlayingFlute_g03_c02
HandStandPushups,v_HandStandPushups_g12_c04
BoxingPunchingBag,v_BoxingPunchingBag_g15_c06
ApplyLipstick,v_ApplyLipstick_g15_c05
CliffDiving,v_CliffDiving_g20_c02
CricketBowling,v_CricketBowling_g22_c07
CricketBowling,v_CricketBowling_g20_c03
CricketBowling,v_CricketBowling_g11_c06
FrontCrawl,v_FrontCrawl_g09_c02
BoxingPunchingBag,v_BoxingPunchingBag_g07_c01
UnevenBars,v_UnevenBars_g04_c01
FrontCrawl,v_FrontCrawl_g18_c06
HandStandPushups,v_HandStandPushups_g23_c05
MoppingFloor,v_MoppingFloor_g10_c03
Hammering,v_Hammering_g15_c05
CliffDiving,v_CliffDiving_g06_c04
Hammering,v_Hammering_g07_c01
BoxingPunchingBag,v_BoxingPunchingBag_g19_c04
HammerThrow,v_HammerThrow_g08_c05
BoxingPunchingBag,v_BoxingPunchingBag_g04_c07
ApplyLipstick,v_ApplyLipstick_g04_c04
PlayingDhol,v_PlayingDhol_g23_c06
BasketballDunk,v_BasketballDunk_g22_c01
MoppingFloor,v_MoppingFloor_g12_c01
HandStandPushups,v_HandStandPushups_g23_c01
FrisbeeCatch,v_FrisbeeCatch_g20_c06
ApplyLipstick,v_ApplyLipstick_g10_c02
HandStandPushups,v_HandStandPushups_g13_c05
PlayingFlute,v_PlayingFlute_g07_c02
CricketBowling,v_CricketBowling_g19_c05
FrontCrawl,v_FrontCrawl_g19_c01
PlayingDhol,v_PlayingDhol_g23_c04
PlayingDhol,v_PlayingDhol_g07_c05
Hammering,v_Hammering_g17_c03
BoxingPunchingBag,v_BoxingPunchingBag_g25_c03
PlayingFlute,v_PlayingFlute_g19_c02
HandstandWalking,v_HandstandWalking_g03_c04
MoppingFloor,v_MoppingFloor_g06_c02
PlayingCello,v_PlayingCello_g24_c05
CricketBowling,v_CricketBowling_g16_c03
BasketballDunk,v_BasketballDunk_g23_c01
CliffDiving,v_CliffDiving_g05_c01
PlayingFlute,v_PlayingFlute_g18_c03
CricketBowling,v_CricketBowling_g18_c02
BoxingPunchingBag,v_BoxingPunchingBag_g05_c02
HandStandPushups,v_HandStandPushups_g20_c02
MoppingFloor,v_MoppingFloor_g18_c05
UnevenBars,v_UnevenBars_g21_c01
BasketballDunk,v_BasketballDunk_g15_c03
HammerThrow,v_HammerThrow_g20_c01
FrontCrawl,v_FrontCrawl_g17_c03
BoxingPunchingBag,v_BoxingPunchingBag_g24_c05
PlayingCello,v_PlayingCello_g10_c05
BoxingPunchingBag,v_BoxingPunchingBag_g07_c04
HandStandPushups,v_HandStandPushups_g02_c02
HammerThrow,v_HammerThrow_g19_c01
HandstandWalking,v_HandstandWalking_g18_c06
HandstandWalking,v_HandstandWalking_g08_c01
HandstandWalking,v_HandstandWalking_g23_c03
FieldHockeyPenalty,v_FieldHockeyPenalty_g17_c02
HandstandWalking,v_HandstandWalking_g14_c04
PlayingFlute,v_PlayingFlute_g25_c07
BoxingPunchingBag,v_BoxingPunchingBag_g06_c02
PlayingCello,v_PlayingCello_g22_c04
HandstandWalking,v_HandstandWalking_g10_c04
HammerThrow,v_HammerThrow_g14_c06
MoppingFloor,v_MoppingFloor_g01_c01
FieldHockeyPenalty,v_FieldHockeyPenalty_g19_c02
HammerThrow,v_HammerThrow_g18_c04
PlayingCello,v_PlayingCello_g10_c07
PlayingFlute,v_PlayingFlute_g24_c05
PlayingFlute,v_PlayingFlute_g03_c05
BoxingPunchingBag,v_BoxingPunchingBag_g12_c06
FrisbeeCatch,v_FrisbeeCatch_g22_c04
UnevenBars,v_UnevenBars_g08_c02
ApplyLipstick,v_ApplyLipstick_g24_c04
FieldHockeyPenalty,v_FieldHockeyPenalty_g01_c04
CricketBowling,v_CricketBowling_g15_c05
ApplyLipstick,v_ApplyLipstick_g01_c05
CricketBowling,v_CricketBowling_g01_c05
UnevenBars,v_UnevenBars_g23_c03
PlayingCello,v_PlayingCello_g18_c02
PlayingCello,v_PlayingCello_g04_c04
PlayingDhol,v_PlayingDhol_g08_c02
FrisbeeCatch,v_FrisbeeCatch_g17_c03
FrisbeeCatch,v_FrisbeeCatch_g04_c01
PlayingFlute,v_PlayingFlute_g01_c07
BasketballDunk,v_BasketballDunk_g17_c06
UnevenBars,v_UnevenBars_g22_c03
BasketballDunk,v_BasketballDunk_g01_c02
CliffDiving,v_CliffDiving_g20_c07
PlayingFlute,v_PlayingFlute_g09_c06
PlayingCello,v_PlayingCello_g17_c05
PlayingDhol,v_PlayingDhol_g15_c01
CricketBowling,v_CricketBowling_g12_c03
ApplyLipstick,v_ApplyLipstick_g16_c02
HandStandPushups,v_HandStandPushups_g24_c02
ApplyLipstick,v_ApplyLipstick_g22_c06
HandstandWalking,v_HandstandWalking_g19_c01
CliffDiving,v_CliffDiving_g25_c02
PlayingFlute,v_PlayingFlute_g23_c04
FrontCrawl,v_FrontCrawl_g21_c01
HandStandPushups,v_HandStandPushups_g07_c03
CliffDiving,v_CliffDiving_g06_c06
CricketBowling,v_CricketBowling_g16_c04
FrontCrawl,v_FrontCrawl_g24_c04
PlayingDhol,v_PlayingDhol_g09_c07
MoppingFloor,v_MoppingFloor_g24_c02
CliffDiving,v_CliffDiving_g14_c06
Hammering,v_Hammering_g22_c01
HandStandPushups,v_HandStandPushups_g08_c03
HandStandPushups,v_HandStandPushups_g17_c01
MoppingFloor,v_MoppingFloor_g01_c04
FrisbeeCatch,v_FrisbeeCatch_g13_c03
CliffDiving,v_CliffDiving_g03_c02
HandStandPushups,v_HandStandPushups_g18_c06
PlayingDhol,v_PlayingDhol_g01_c02
CliffDiving,v_CliffDiving_g12_c06
MoppingFloor,v_MoppingFloor_g24_c01
PlayingDhol,v_PlayingDhol_g19_c02
CricketBowling,v_CricketBowling_g02_c01
CliffDiving,v_CliffDiving_g05_c07
HandStandPushups,v_HandStandPushups_g12_c02
CliffDiving,v_CliffDiving_g17_c02
UnevenBars,v_UnevenBars_g05_c01
BoxingPunchingBag,v_BoxingPunchingBag_g13_c04
MoppingFloor,v_MoppingFloor_g04_c05
PlayingFlute,v_PlayingFlute_g11_c01
UnevenBars,v_UnevenBars_g09_c01
PlayingFlute,v_PlayingFlute_g10_c01
BoxingPunchingBag,v_BoxingPunchingBag_g16_c05
FrontCrawl,v_FrontCrawl_g15_c03
MoppingFloor,v_MoppingFloor_g17_c04
PlayingCello,v_PlayingCello_g20_c07
PlayingCello,v_PlayingCello_g04_c07
UnevenBars,v_UnevenBars_g21_c03
FrontCrawl,v_FrontCrawl_g18_c04
FieldHockeyPenalty,v_FieldHockeyPenalty_g09_c04
HandstandWalking,v_HandstandWalking_g13_c04
PlayingFlute,v_PlayingFlute_g22_c03
PlayingFlute,v_PlayingFlute_g22_c04
UnevenBars,v_UnevenBars_g05_c02
HandStandPushups,v_HandStandPushups_g11_c01
PlayingCello,v_PlayingCello_g25_c06
PlayingCello,v_PlayingCello_g22_c01
FrisbeeCatch,v_FrisbeeCatch_g04_c02
BoxingPunchingBag,v_BoxingPunchingBag_g24_c02
CricketBowling,v_CricketBowling_g01_c04
CliffDiving,v_CliffDiving_g25_c03
PlayingFlute,v_PlayingFlute_g16_c02
UnevenBars,v_UnevenBars_g24_c03
PlayingDhol,v_PlayingDhol_g05_c07
FrontCrawl,v_FrontCrawl_g05_c01
HandStandPushups,v_HandStandPushups_g09_c03
UnevenBars,v_UnevenBars_g10_c01
HandStandPushups,v_HandStandPushups_g20_c05
MoppingFloor,v_MoppingFloor_g23_c01
MoppingFloor,v_MoppingFloor_g23_c02
PlayingCello,v_PlayingCello_g20_c06
BoxingPunchingBag,v_BoxingPunchingBag_g25_c07
MoppingFloor,v_MoppingFloor_g03_c02
FrontCrawl,v_FrontCrawl_g04_c02
CricketBowling,v_CricketBowling_g23_c01
FrontCrawl,v_FrontCrawl_g11_c06
PlayingFlute,v_PlayingFlute_g17_c04
MoppingFloor,v_MoppingFloor_g17_c01
CliffDiving,v_CliffDiving_g23_c05
PlayingCello,v_PlayingCello_g06_c07
FrontCrawl,v_FrontCrawl_g17_c05
HandstandWalking,v_HandstandWalking_g18_c03
PlayingFlute,v_PlayingFlute_g25_c02
Hammering,v_Hammering_g19_c03
Hammering,v_Hammering_g22_c07
BoxingPunchingBag,v_BoxingPunchingBag_g23_c01
CliffDiving,v_CliffDiving_g11_c06
PlayingFlute,v_PlayingFlute_g06_c04
FieldHockeyPenalty,v_FieldHockeyPenalty_g14_c02
UnevenBars,v_UnevenBars_g23_c01
HandstandWalking,v_HandstandWalking_g05_c04
HandstandWalking,v_HandstandWalking_g01_c04
FrontCrawl,v_FrontCrawl_g08_c03
HammerThrow,v_HammerThrow_g14_c02
CliffDiving,v_CliffDiving_g19_c03
BasketballDunk,v_BasketballDunk_g05_c03
UnevenBars,v_UnevenBars_g18_c04
PlayingFlute,v_PlayingFlute_g12_c04
BasketballDunk,v_BasketballDunk_g22_c04
FrisbeeCatch,v_FrisbeeCatch_g12_c05
FrisbeeCatch,v_FrisbeeCatch_g17_c04
PlayingDhol,v_PlayingDhol_g24_c05
HammerThrow,v_HammerThrow_g02_c02
FrontCrawl,v_FrontCrawl_g04_c01
PlayingFlute,v_PlayingFlute_g04_c02
BoxingPunchingBag,v_BoxingPunchingBag_g24_c01
HandstandWalking,v_HandstandWalking_g06_c01
BoxingPunchingBag,v_BoxingPunchingBag_g04_c06
MoppingFloor,v_MoppingFloor_g11_c02
CliffDiving,v_CliffDiving_g01_c04
MoppingFloor,v_MoppingFloor_g05_c03
PlayingCello,v_PlayingCello_g08_c02
HammerThrow,v_HammerThrow_g05_c05
PlayingFlute,v_PlayingFlute_g04_c06
PlayingFlute,v_PlayingFlute_g15_c07
FieldHockeyPenalty,v_FieldHockeyPenalty_g11_c03
FrisbeeCatch,v_FrisbeeCatch_g01_c02
HandStandPushups,v_HandStandPushups_g16_c07
HandstandWalking,v_HandstandWalking_g13_c01
CliffDiving,v_CliffDiving_g04_c01
CricketBowling,v_CricketBowling_g21_c03
PlayingDhol,v_PlayingDhol_g22_c02
BoxingPunchingBag,v_BoxingPunchingBag_g08_c01
CricketBowling,v_CricketBowling_g23_c04
CricketBowling,v_CricketBowling_g23_c03
HammerThrow,v_HammerThrow_g07_c05
ApplyLipstick,v_ApplyLipstick_g22_c07
CliffDiving,v_CliffDiving_g24_c01
MoppingFloor,v_MoppingFloor_g08_c04
HandStandPushups,v_HandStandPushups_g09_c02
PlayingCello,v_PlayingCello_g13_c04
BasketballDunk,v_BasketballDunk_g13_c01
BoxingPunchingBag,v_BoxingPunchingBag_g16_c06
HandstandWalking,v_HandstandWalking_g24_c03
PlayingCello,v_PlayingCello_g04_c06
FrisbeeCatch,v_FrisbeeCatch_g11_c02
PlayingFlute,v_PlayingFlute_g16_c04
BasketballDunk,v_BasketballDunk_g07_c06
FieldHockeyPenalty,v_FieldHockeyPenalty_g17_c01
FieldHockeyPenalty,v_FieldHockeyPenalty_g04_c02
CliffDiving,v_CliffDiving_g01_c03
MoppingFloor,v_MoppingFloor_g14_c02
PlayingFlute,v_PlayingFlute_g16_c06
PlayingCello,v_PlayingCello_g03_c01
ApplyLipstick,v_ApplyLipstick_g06_c02
CricketBowling,v_CricketBowling_g08_c01
PlayingDhol,v_PlayingDhol_g24_c01
MoppingFloor,v_MoppingFloor_g08_c01
BoxingPunchingBag,v_BoxingPunchingBag_g07_c05
Hammering,v_Hammering_g23_c03
ApplyLipstick,v_ApplyLipstick_g03_c04
MoppingFloor,v_MoppingFloor_g14_c04
PlayingDhol,v_PlayingDhol_g01_c05
Hammering,v_Hammering_g06_c02
CliffDiving,v_CliffDiving_g10_c07
CricketBowling,v_CricketBowling_g03_c04
PlayingCello,v_PlayingCello_g17_c03
FrisbeeCatch,v_FrisbeeCatch_g23_c02
FrisbeeCatch,v_FrisbeeCatch_g19_c05
CricketBowling,v_CricketBowling_g10_c02
FrisbeeCatch,v_FrisbeeCatch_g21_c02
HammerThrow,v_HammerThrow_g13_c04
HammerThrow,v_HammerThrow_g08_c06
FrontCrawl,v_FrontCrawl_g10_c04
CliffDiving,v_CliffDiving_g24_c03
ApplyLipstick,v_ApplyLipstick_g16_c04
FrontCrawl,v_FrontCrawl_g09_c04
BoxingPunchingBag,v_BoxingPunchingBag_g01_c02
MoppingFloor,v_MoppingFloor_g07_c01
HandStandPushups,v_HandStandPushups_g15_c01
PlayingFlute,v_PlayingFlute_g01_c03
CricketBowling,v_CricketBowling_g07_c01
FieldHockeyPenalty,v_FieldHockeyPenalty_g05_c01
BasketballDunk,v_BasketballDunk_g01_c01
HandStandPushups,v_HandStandPushups_g25_c06
MoppingFloor,v_MoppingFloor_g11_c03
FieldHockeyPenalty,v_FieldHockeyPenalty_g23_c03
BoxingPunchingBag,v_BoxingPunchingBag_g17_c04
HandStandPushups,v_HandStandPushups_g10_c02
FrontCrawl,v_FrontCrawl_g24_c03
FieldHockeyPenalty,v_FieldHockeyPenalty_g24_c02
CliffDiving,v_CliffDiving_g10_c06
CliffDiving,v_CliffDiving_g07_c05
PlayingDhol,v_PlayingDhol_g23_c03
MoppingFloor,v_MoppingFloor_g12_c02
FrontCrawl,v_FrontCrawl_g15_c04
UnevenBars,v_UnevenBars_g18_c03
BasketballDunk,v_BasketballDunk_g18_c06
FieldHockeyPenalty,v_FieldHockeyPenalty_g01_c01
PlayingDhol,v_PlayingDhol_g17_c02
UnevenBars,v_UnevenBars_g15_c06
HandstandWalking,v_HandstandWalking_g23_c02
BasketballDunk,v_BasketballDunk_g12_c03
BoxingPunchingBag,v_BoxingPunchingBag_g03_c01
Hammering,v_Hammering_g17_c07
PlayingCello,v_PlayingCello_g16_c05
FrontCrawl,v_FrontCrawl_g22_c05
ApplyLipstick,v_ApplyLipstick_g21_c01
HandStandPushups,v_HandStandPushups_g24_c01
PlayingDhol,v_PlayingDhol_g04_c07
ApplyLipstick,v_ApplyLipstick_g05_c02
PlayingCello,v_PlayingCello_g11_c07
HammerThrow,v_HammerThrow_g22_c04
Hammering,v_Hammering_g04_c03
CricketBowling,v_CricketBowling_g25_c01
FrontCrawl,v_FrontCrawl_g05_c02
HammerThrow,v_HammerThrow_g16_c01
BasketballDunk,v_BasketballDunk_g20_c01
CricketBowling,v_CricketBowling_g11_c02
BasketballDunk,v_BasketballDunk_g25_c02
BoxingPunchingBag,v_BoxingPunchingBag_g20_c04
PlayingCello,v_PlayingCello_g15_c07
FrisbeeCatch,v_FrisbeeCatch_g03_c03
PlayingDhol,v_PlayingDhol_g09_c01
ApplyLipstick,v_ApplyLipstick_g14_c02
PlayingDhol,v_PlayingDhol_g12_c01
CricketBowling,v_CricketBowling_g11_c04
PlayingCello,v_PlayingCello_g21_c05
FieldHockeyPenalty,v_FieldHockeyPenalty_g19_c03
Hammering,v_Hammering_g03_c04
HandStandPushups,v_HandStandPushups_g12_c03
BoxingPunchingBag,v_BoxingPunchingBag_g17_c02
HammerThrow,v_HammerThrow_g13_c05
PlayingDhol,v_PlayingDhol_g04_c05
FrisbeeCatch,v_FrisbeeCatch_g07_c02
HandStandPushups,v_HandStandPushups_g16_c03
CricketBowling,v_CricketBowling_g04_c04
PlayingDhol,v_PlayingDhol_g22_c05
Hammering,v_Hammering_g02_c02
UnevenBars,v_UnevenBars_g22_c02
ApplyLipstick,v_ApplyLipstick_g03_c01
Hammering,v_Hammering_g04_c01
BoxingPunchingBag,v_BoxingPunchingBag_g05_c07
HandStandPushups,v_HandStandPushups_g25_c02
HandstandWalking,v_HandstandWalking_g16_c01
CricketBowling,v_CricketBowling_g19_c07
PlayingFlute,v_PlayingFlute_g01_c06
MoppingFloor,v_MoppingFloor_g08_c03
FieldHockeyPenalty,v_FieldHockeyPenalty_g10_c06
Hammering,v_Hammering_g13_c04
FrisbeeCatch,v_FrisbeeCatch_g08_c03
FrontCrawl,v_FrontCrawl_g22_c06
BoxingPunchingBag,v_BoxingPunchingBag_g08_c06
ApplyLipstick,v_ApplyLipstick_g21_c02
MoppingFloor,v_MoppingFloor_g25_c04
FieldHockeyPenalty,v_FieldHockeyPenalty_g06_c04
UnevenBars,v_UnevenBars_g17_c01
FrontCrawl,v_FrontCrawl_g17_c04
BasketballDunk,v_BasketballDunk_g03_c04
HandStandPushups,v_HandStandPushups_g05_c03
BoxingPunchingBag,v_BoxingPunchingBag_g22_c06
PlayingDhol,v_PlayingDhol_g08_c01
CricketBowling,v_CricketBowling_g15_c03
PlayingDhol,v_PlayingDhol_g19_c01
FrisbeeCatch,v_FrisbeeCatch_g10_c06
HandStandPushups,v_HandStandPushups_g06_c01
FrisbeeCatch,v_FrisbeeCatch_g03_c04
PlayingFlute,v_PlayingFlute_g08_c04
HammerThrow,v_HammerThrow_g06_c01
CricketBowling,v_CricketBowling_g22_c01
CliffDiving,v_CliffDiving_g22_c04
PlayingFlute,v_PlayingFlute_g10_c06
HandStandPushups,v_HandStandPushups_g08_c02
BasketballDunk,v_BasketballDunk_g11_c01
CricketBowling,v_CricketBowling_g19_c04
HandstandWalking,v_HandstandWalking_g12_c04
BasketballDunk,v_BasketballDunk_g16_c06
BoxingPunchingBag,v_BoxingPunchingBag_g11_c01
CliffDiving,v_CliffDiving_g07_c01
ApplyLipstick,v_ApplyLipstick_g02_c03
HandstandWalking,v_HandstandWalking_g20_c02
PlayingCello,v_PlayingCello_g02_c06
ApplyLipstick,v_ApplyLipstick_g18_c03
PlayingFlute,v_PlayingFlute_g12_c02
FrontCrawl,v_FrontCrawl_g11_c04
CliffDiving,v_CliffDiving_g02_c02
PlayingCello,v_PlayingCello_g22_c07
CliffDiving,v_CliffDiving_g03_c03
HandStandPushups,v_HandStandPushups_g16_c01
BasketballDunk,v_BasketballDunk_g07_c02
CricketBowling,v_CricketBowling_g23_c02
BasketballDunk,v_BasketballDunk_g08_c03
Hammering,v_Hammering_g22_c04
CricketBowling,v_CricketBowling_g12_c04
PlayingCello,v_PlayingCello_g19_c06
HammerThrow,v_HammerThrow_g19_c05
UnevenBars,v_UnevenBars_g18_c01
CricketBowling,v_CricketBowling_g17_c02
FieldHockeyPenalty,v_FieldHockeyPenalty_g22_c01
PlayingCello,v_PlayingCello_g24_c02
FieldHockeyPenalty,v_FieldHockeyPenalty_g09_c03
PlayingCello,v_PlayingCello_g15_c01
HammerThrow,v_HammerThrow_g03_c03
FrisbeeCatch,v_FrisbeeCatch_g07_c06
BoxingPunchingBag,v_BoxingPunchingBag_g05_c06
PlayingDhol,v_PlayingDhol_g25_c07
PlayingDhol,v_PlayingDhol_g10_c05
FieldHockeyPenalty,v_FieldHockeyPenalty_g05_c04
HandstandWalking,v_HandstandWalking_g02_c01
FieldHockeyPenalty,v_FieldHockeyPenalty_g15_c03
CliffDiving,v_CliffDiving_g10_c02
FrisbeeCatch,v_FrisbeeCatch_g05_c05
HandStandPushups,v_HandStandPushups_g07_c01
ApplyLipstick,v_ApplyLipstick_g07_c03
HandStandPushups,v_HandStandPushups_g10_c04
HandStandPushups,v_HandStandPushups_g06_c04
BoxingPunchingBag,v_BoxingPunchingBag_g22_c05
UnevenBars,v_UnevenBars_g09_c03
PlayingFlute,v_PlayingFlute_g22_c05
FrisbeeCatch,v_FrisbeeCatch_g21_c04
HandStandPushups,v_HandStandPushups_g16_c02
MoppingFloor,v_MoppingFloor_g03_c01
FrisbeeCatch,v_FrisbeeCatch_g12_c01
FrisbeeCatch,v_FrisbeeCatch_g02_c05
BoxingPunchingBag,v_BoxingPunchingBag_g09_c02
CricketBowling,v_CricketBowling_g25_c06
CricketBowling,v_CricketBowling_g02_c02
FrontCrawl,v_FrontCrawl_g19_c04
PlayingCello,v_PlayingCello_g20_c01
BasketballDunk,v_BasketballDunk_g14_c05
BasketballDunk,v_BasketballDunk_g21_c03
HandstandWalking,v_HandstandWalking_g20_c01
BasketballDunk,v_BasketballDunk_g02_c02
FrontCrawl,v_FrontCrawl_g11_c07
BoxingPunchingBag,v_BoxingPunchingBag_g05_c01
HammerThrow,v_HammerThrow_g12_c03
